Module name,R2 (Test),R2 (Train),MSE (Test),MSE (Train),RMSE (Test),RMSE (Train),MAE (Test),MAE (Train),R2 roughness (Test),R2 roughness (Train),MSE roughness (Test),MSE roughness (Train),RMSE roughness (Test),RMSE roughness (Train),MAE roughness (Test),MAE roughness (Train),roughness %E avg (Test),roughness %E avg (Train),R2 Tensile Strength (Test),R2 Tensile Strength (Train),MSE Tensile Strength (Test),MSE Tensile Strength (Train),RMSE Tensile Strength (Test),RMSE Tensile Strength (Train),MAE Tensile Strength (Test),MAE Tensile Strength (Train),Tensile Strength %E avg (Test),Tensile Strength %E avg (Train),R2 elongation (Test),R2 elongation (Train),MSE elongation (Test),MSE elongation (Train),RMSE elongation (Test),RMSE elongation (Train),MAE elongation (Test),MAE elongation (Train),elongation %E avg (Test),elongation %E avg (Train)
Linear Regression,0.6953316445049792,0.7540030357260523,427.25829443722847,420.2795056118334,20.670227246869555,20.50071963643797,10.091728207939497,11.060732131206912,0.9011243795183688,0.860281408123289,1261.7517929660964,1232.9047111143532,35.52114571584222,35.112742859457065,26.154370096995414,28.47476833517552,25.47792535253201,21.644310123383917,0.669573868823093,0.6639295245072675,19.78922099618496,27.765932641162372,4.448507726888305,5.269338918798294,3.7245078196945762,4.364497108299586,22.842071062330813,31.8740350397086,0.5152966851734762,0.7377981745476007,0.23386934940379783,0.16787307998448958,0.4836004026092181,0.4097231748198893,0.39630670712849786,0.34293095014564373,32.402671863335726,27.999225894732536
Linear Regression (Custom),0.695331644505481,0.7540030357260527,427.25829443745926,420.2795056118334,20.670227246875136,20.50071963643797,10.091728207937088,11.060732131198606,0.9011243795183157,0.860281408123289,1261.7517929667736,1232.9047111143536,35.52114571585176,35.11274285945707,26.15437009698694,28.474768335154703,25.477925352547704,21.644310123369987,0.669573868822825,0.6639295245072676,19.789220996201013,27.76593264116236,4.44850772689011,5.269338918798293,3.724507819696934,4.364497108295517,22.842071062310538,31.874035039793114,0.5152966851753027,0.7377981745476012,0.23386934940291654,0.16787307998448925,0.4836004026083069,0.4097231748198889,0.3963067071273863,0.3429309501456029,32.40267186331186,27.999225894806624
Polynomial Regression (Degree 3),0.6903049708492294,1.0,331.92033677388383,9.781109680427185e-27,18.21868098337209,9.889949282189058e-14,10.261669475287318,4.439504319719845e-14,0.92438684519579,1.0,964.8994684565245,2.898969163378592e-26,31.062830979428202,1.7026359456379957e-13,25.872397959701885,1.1723955140041653e-13,34.5993806918263,1.13973817706862e-13,0.48744280338973,1.0,30.69705050498907,3.5041201409917343e-28,5.540491900994809,1.8719295235108973e-14,4.526894921781112,1.4566126083082053e-14,27.95919856482837,1.0309805729172859e-13,0.6590852639621683,1.0,0.16449136013825383,3.225393396464192e-30,0.40557534458871364,1.7959380268996454e-15,0.38571554437895833,1.379452108096757e-15,28.793674556258907,1.1122248691022887e-13
Decision Tree Regressor (Selected Features),0.8295142892776654,0.6046303801473765,543.6967222255767,213.0636815934065,23.317305209341338,14.596701051724205,11.589417582417582,8.757976190476187,0.8736586008546807,0.9342324202343019,1612.242594493419,580.3462362637363,40.152740809232675,24.090376424284788,31.439670329670328,19.502032967032967,27.860277331177507,15.340762761298283,0.6858687229368643,0.2909473895622725,18.813322183311193,58.581483516483516,4.337432671905259,7.653854160910274,3.1675824175824174,6.364395604395604,16.957823165253505,46.349177648221065,0.9290155440414508,0.5887113306455549,0.034249999999999996,0.263325,0.18506755523321747,0.5131520242579191,0.161,0.40750000000000003,10.608188913834077,30.96727724913766
Random Forest Regressor (Selected Features),0.7995784311323898,0.568482632720095,631.2948325925926,441.932171851852,25.125581238900576,21.022182851736687,12.668888888888892,11.692222222222226,0.8530669574833042,0.8565506906902185,1875.0125555555555,1265.8253055555556,43.30141516804682,35.578438773441924,34.68333333333334,28.530833333333334,31.838011442841996,22.574382678719857,0.6860206675200831,0.27744753172808023,18.804222222222226,59.69683333333334,4.336383541872447,7.726372585717915,3.1,6.153333333333334,14.856099944851232,42.42972553944306,0.8596476683937824,0.5714496757419862,0.06772000000000003,0.27437666666666666,0.2602306669091866,0.5238097619047077,0.22333333333333338,0.3925,15.105725740806387,28.173304909751458
Support Vector Regressor (Linear),0.669275069449319,0.6721033503839132,396.6864895752511,645.965983329868,19.91698997276574,19.91698997276574,9.985838290156861,11.71284484232619,0.9084040253072294,0.7847363912103683,1168.8562330544448,1899.5290021417125,34.18853949870402,43.583586384575014,25.905379354292243,30.715748398733503,27.837922721989013,21.240239082278542,0.6504026193304622,0.5379681742317353,20.937387128298617,38.172780675082926,4.5757389707345215,6.178412472074273,3.672437720946084,4.0979831520715395,20.110629694458332,28.38118650086467,0.4490185637102654,0.6936054857096356,0.26584854300979704,0.19616717280869142,0.5156050261680902,0.44290763462452465,0.3796977952322541,0.3248029761735237,28.72116787394724,29.636158951496032
Support Vector Regressor (RBF),0.6983126484833849,0.9914555882643535,868.6588761143554,72.30363534260066,29.473019460421007,8.503154434831856,15.86592356214968,2.2904608114999148,0.7976257935333191,0.9754270753563486,2582.4972487213154,216.83638628243062,50.81827671931935,14.725365404037708,43.17049512121112,6.808305782032429,68.44431018756892,5.57139096993128,0.610481290492765,0.9990992721314043,23.328275512388306,0.07441757354846676,4.829935352816672,0.27279584591497497,4.098473045224168,0.05297153060256399,28.21718031414043,0.18378306275443568,0.6868308614240707,0.999840417305308,0.15110410936288593,0.00010217182288468863,0.388721120294339,0.010108007859350359,0.3288025200137529,0.010105121864751232,24.422154069962403,0.7966199065036467
KNN Regressor (Selected Features),0.5093585804556353,1.0,1521.3898200711562,0.0,39.004997373043835,0.0,20.591973111853086,0.0,0.6450374577643094,1.0,4529.677001469647,0.0,67.30287513523956,0.0,56.466266445206806,0.0,89.16241722625244,0.0,0.4284640034396324,1.0,34.229290834000416,0.0,5.85058038437217,0.0,4.86565146887912,0.0,30.444398087124096,0.0,0.45457428016296386,1.0,0.26316790982137,0.0,0.5129989374466286,0.0,0.4440014214733317,0.0,31.279548381464423,0.0
KNN Regressor (Custom),0.683297670902884,0.6957358899648329,1511.8128666666664,840.3882466666668,38.88203784097056,28.989450609948904,19.675333333333334,15.34666666666667,0.6460465480761696,0.7177008480726899,4516.8,2491.064,67.20714247756707,49.910560004872714,55.2,41.17,103.11587712037817,40.671571570021854,0.6911003506428453,0.6377484094983773,18.5,29.929000000000002,4.301162633521313,5.470740352091297,3.500000000000001,4.545,21.35407346924375,34.06210662768709,0.7127461139896372,0.7317584123234315,0.13860000000000008,0.17173999999999995,0.3722902093797258,0.41441525068462426,0.3260000000000001,0.32499999999999996,21.324564772145425,25.26499788385507
Ridge Regression (Selected Features),0.6762821374436182,0.632696103684755,287.0518008017318,587.2275816296112,16.94260312944064,24.232779073593917,8.364206897130659,12.604535369625125,0.9349405671171812,0.805237784857504,830.2234230176507,1718.620617134029,28.813597883944496,41.45624943400004,19.90480510931749,32.41529875449356,26.807446184595033,26.042069920889343,0.4866845270738467,0.4818031085943508,30.74246367354732,42.8131032948776,5.5445886838923695,6.543172265413589,4.808578672564349,4.997565886380704,30.367561742522867,33.68645783979146,0.6072213181398265,0.6110474176024103,0.18951571399753378,0.24902445992641678,0.43533402577507513,0.49902350638663984,0.37923690951013916,0.4007414680011047,29.241495884676795,28.446226107871688
