Module name,Overall R2 Train - Test Difference,Overall MSE Test / Train Ratio,Overall RMSE Train - Test Difference,Overall MAE Test / Train Ratio,Avg %E Difference (Test - Train),Roughness R2 Train - Test Difference,Roughness MSE Test / Train Ratio,Roughness MAE Difference (Test - Train),Roughness RMSE Test / Train Ratio,Roughness %E Difference (Test - Train),Tensile Strength R2 Train - Test Difference,Tensile Strength MSE Test / Train Ratio,Tensile Strength MAE Difference (Test - Train),Tensile Strength RMSE Test / Train Ratio,Tensile Strength %E Difference (Test - Train),Elongation R2 Train - Test Difference,Elongation MSE Test / Train Ratio,Elongation MAE Difference (Test - Train),Elongation RMSE Test / Train Ratio,Elongation %E Difference (Test - Train)
Linear Regression,0.058671391,1.0166051133405423,-0.16950761,0.9123924246810464,-0.264967593,-0.040842971,1.0233976572493262,-2.320398238,1.0116311863764016,3.8336152291480268,-0.005644344,0.7127158756716052,-0.639989289,0.8442250148340816,-9.031963977,0.2225014893741235,1.3931319388755197,0.053375757,1.1803101028439602,4.403445968603233
Polynomial Regression (Degree 2),0.748883566,10397.24646726824,-50.59787766,69.03646865202089,47.99048520885699,0.717733402,116959.22791043599,52.91210429198714,341.99302318970774,41.26802035015575,1.390339926032179,225.24567314761433,9.391132251677627,15.008186870758719,79.01167730116498,0.1385773698083147,33.533905026893144,0.2581562931514676,5.790846658899987,23.69175797525022
Decision Tree Regressor,0.6560656323498049,inf,-30.47444284,inf,39.14118435810762,0.2127419481231878,inf,42.8,inf,40.10290940031357,1.1855067623977291,inf,7.2,inf,45.482258940463275,0.5699481865284974,inf,0.47000000000000003,inf,31.838384733546025
Random Forest Regressor,0.17260752793869294,16.316985761075067,-20.92201334,3.981021334023673,22.918367998264703,0.16463987794076818,16.97747027607235,32.97475,4.1203725894720185,55.21482886692483,0.297889186,3.3328969743216983,2.09675,1.8256223526024487,9.389440327607655,0.055293519,1.5056162039816579,0.04985,1.227035534930288,4.150834800261627
Support Vector Regressor (Linear),0.13338252614613802,1.8230723125416932,0,1.5184721244141266,32.678811208706186,0.26074721,1.8303729056866587,41.38053731736909,1.3529127487338786,110.08532459791903,-0.143330021,0.5517463685950446,-0.469061805,0.7427963170311526,-14.56701642,0.2827303895525187,1.1972827236996384,0.084234595,1.0942041508327587,2.5181254436141494
Support Vector Regressor (RBF),-0.042525963,1.442267343311037,-10.95870966,1.3004193712984775,19.700408651949527,0.001707064,1.4485998364621593,26.379591689973594,1.2035779311960482,92.93208599100157,4.5824999977184255e-05,0.7249258995335205,-0.878026803,0.8514258038922243,-19.84864981,-0.129330779,0.624340753,-0.117436549,0.79015236,-13.98221022
KNN Regressor,0.2492137421642875,1.8964876524517498,-19.51983937,1.3256040272488072,37.23563906,0.2856260962171183,1.9023401090294425,27.455,1.3792534607639897,127.65562053542574,0.14301295863076657,0.9071410332794281,-0.41,0.9524395168615317,-10.70234797,0.319002172,1.1751752848378618,0.056000000000000105,1.0840550192853968,-5.246355401
Ridge Regression,0.13423672204097153,1.6721430821781513,-12.97720149,1.2587562104485193,17.061349620857758,0.10672956322956839,1.6793362241129997,19.281768566134602,1.2958920572767625,63.226427034310106,-0.070898197,0.6180970160574077,-0.939607584,0.786191463,-13.17349942,0.36687879950801205,1.336231389918259,0.078223842,1.155954752539328,1.131121249
Lasso Regression,-0.027712995,1.1702089,-1.939527736,0.8914600396039952,-3.598188227,-0.033251198,1.187873316526589,-2.950868211,1.0898960117949734,11.35044593,-0.149617554,0.5249010665179902,-1.50089653,0.724500564,-16.01330126,0.099729766,0.881352605,-0.007082422,0.9388038160548077,-6.131709351
Elastic Net,0.031313720588583394,1.548207748120163,-12.1956563,1.1910892143207557,15.05122799012652,0.063032523,1.5543507971514594,16.787059210587017,1.2467360575324111,63.84574128005609,-0.144455531,0.531365647,-1.467440638,0.7289483155396067,-15.80031453,0.17536417051483344,0.9865445622535821,0.029324310995074765,0.993249496,-2.891742778
