Module name,R2 (Test),R2 (Train),MSE (Test),MSE (Train),RMSE (Test),RMSE (Train),MAE (Test),MAE (Train),R2 roughness (Test),R2 roughness (Train),MSE roughness (Test),MSE roughness (Train),RMSE roughness (Test),RMSE roughness (Train),MAE roughness (Test),MAE roughness (Train),roughness %E avg (Test),roughness %E avg (Train),R2 Tensile Strength (Test),R2 Tensile Strength (Train),MSE Tensile Strength (Test),MSE Tensile Strength (Train),RMSE Tensile Strength (Test),RMSE Tensile Strength (Train),MAE Tensile Strength (Test),MAE Tensile Strength (Train),Tensile Strength %E avg (Test),Tensile Strength %E avg (Train),R2 elongation (Test),R2 elongation (Train),MSE elongation (Test),MSE elongation (Train),RMSE elongation (Test),RMSE elongation (Train),MAE elongation (Test),MAE elongation (Train),elongation %E avg (Test),elongation %E avg (Train)
Linear Regression,0.6953316445049804,0.7540030357260522,427.25829443722495,420.2795056118334,20.67022724686947,20.50071963643797,10.091728207939413,11.06073213120689,0.9011243795183695,0.860281408,1261.751792966086,1232.904711114353,35.521145715842074,35.112742859457065,26.154370096995173,28.47476833517544,25.477925352531823,21.644310123383796,0.6695738688230947,0.6639295245072673,19.78922099618486,27.76593264116239,4.448507726888295,5.2693389187982955,3.7245078196945682,4.3644971082995845,22.84207106233079,31.87403503970856,0.5152966851734768,0.7377981745476003,0.2338693494037975,0.16787307998448983,0.48360040260921777,0.4097231748198896,0.39630670712849914,0.34293095,32.40267186333576,27.99922589473253
Polynomial Regression (Degree 2),0.24539769423479688,0.9942812601842429,2611.1089286209826,0.25113465731922985,51.09901103368814,0.5011333727853593,21.160306724597277,0.30650911232519795,0.28225956688744847,0.9999929688952924,7679.1694905101685,0.065656807,87.63087064790678,0.2562358431484634,53.117718953014524,0.2056146610273853,41.43977157,0.1717512183723518,-0.400102453,0.990237473,154.0252708868406,0.6838101204541248,12.410691797270633,0.8269281229067764,10.05469494297138,0.6635626912937539,82.82970380276181,3.818026501596827,0.8540359691106483,0.992613339,0.13202446593941866,0.003937044,0.3633517110726447,0.06274587,0.30850627780592216,0.050349985,27.058199117443877,3.3664411421936564
Decision Tree Regressor,0.3439343676501952,1,928.6916666666667,0,30.474442844236982,0,16.823333333333334,0,0.7872580518768122,1,2714.8,0,52.10374266787368,0,42.8,0,40.10290940031357,0,-0.185506762,1,71,0,8.426149773176359,0,7.2,0,45.482258940463275,0,0.43005181347150256,1,0.2750000000000001,0,0.5244044240850758,0,0.47000000000000003,0,31.838384733546025,0
Random Forest Regressor,0.7762123676704825,0.9488198956091755,773.1484852666667,47.38304590000002,27.805547742611846,6.883534404649985,15.634333333333336,3.927216666666667,0.8200303502860278,0.984670228,2296.5927,135.27296250000003,47.92277850876345,11.63069054,42.498000000000005,9.52325,64.03738452930456,8.822555662379724,0.619313074,0.91720226,22.799340000000004,6.840697499999999,4.7748654431303095,2.6154727106203954,4.202,2.10525,25.973671238175882,16.584230910568227,0.8892936787564767,0.9445871982350472,0.0534158,0.035477699999999966,0.23111858428088386,0.18835524946228593,0.20299999999999993,0.1531500000000002,16.235420244331525,12.084585444069898
Support Vector Regressor (Linear),0.1793876437689517,0.3127701699150897,5292.775910603464,2903.2177572947585,72.75146672475726,72.75146672475726,40.02198002339826,26.356743321080042,-0.242113114,0.018634096,15850.60544436962,8659.768398,125.89918762394625,93.05787660125816,114.88960968474785,73.50907236737876,184.17539208486636,74.09006748694733,0.5432601837730202,0.3999301630161345,27.35414759383382,49.577394887958846,5.230119271473053,7.041121706657175,4.678949745428822,5.148011550614781,29.081164770022532,43.64818118543714,0.23701586126862206,0.5197462508211408,0.3681398469378899,0.30747946132583215,0.6067452900005816,0.5545083059123931,0.49738064001809956,0.4131460452465762,30.676128350317118,28.15800290670297
Support Vector Regressor (RBF),0.14432998630442498,0.10180402286562107,4289.562422485368,2974.1798165087403,65.49475111,54.53604144516487,36.62659087841123,28.16521476594072,-0.004011033,-0.002303968,12812.18478659092,8844.530051778453,113.19092183824161,94.04536167073022,102.68064039762552,76.30104870765193,176.26006020724157,83.32797422,0.061594347,0.061640172,56.201114571252376,77.52670253251677,7.496740263024482,8.804924902150885,6.769980922638875,7.648007726,40.47116870650497,60.31981852147302,0.3754066446989842,0.24607586524514802,0.30136629393274017,0.4826952152509517,0.548968391,0.6947627042745974,0.42915131496929354,0.5465878640437609,27.174441987102036,41.156652207286974
KNN Regressor,0.069277669,0.31849141114569507,5080.65636,2678.9820400000003,71.27872305253511,51.75888368193426,36.778,27.74433333333334,-0.191043649,0.094582448,15198.908,7989.585000000001,123.2838513,89.38447852,104.7,77.245,202.59824951582527,74.94262898039953,0.2881616296543663,0.4311745882851329,42.632,46.995999999999995,6.529318494299385,6.855362864210763,5.080000000000001,5.49,33.56210813610194,44.264456102980155,0.11071502590673576,0.4297171975517138,0.4290800000000001,0.36511999999999994,0.6550419833873247,0.6042516032250141,0.554,0.49799999999999994,35.98635826539053,41.23271366661005
Ridge Regression,0.32654111425595833,0.46077783629692987,3277.655081961296,1960.1522841524948,57.25080857037127,44.27360708,29.869523074065253,23.729394799507812,0.23140946600797652,0.3381390292375449,9807.983804272211,5840.393164538948,99.03526545767528,76.42246505144249,84.82471845614279,65.54294989000819,132.2908545026986,69.06442747,0.5896569489170354,0.5187587523023691,24.57544532935875,39.75985110899844,4.957362739336183,6.305541301823218,4.260083641452788,5.199691225419988,24.700533408020075,37.874032829153734,0.15855692784286313,0.5254357273508752,0.40599628231581864,0.30383680953689807,0.6371783755871024,0.5512139417112906,0.5237671246001769,0.445543283,33.787276019042466,32.656154769645646
Lasso Regression,0.5887467326177632,0.5610337374245432,658.4957638737116,562.7164208953074,25.6611723,23.721644565571488,12.207129532958193,13.693411920494889,0.8470623856720683,0.8138111878632842,1951.636896438737,1642.9671996887998,44.17733464615919,40.53353179392094,32.29420707315021,35.24507528437177,41.82091551124772,30.47046958452242,0.6073071838273731,0.4576896299789913,23.518372760578625,44.805343827154466,4.849574492734247,6.693679393812828,3.8592031934802384,5.360099723155033,22.928348195256646,38.941649453085844,0.31187062835384805,0.41160039443135366,0.3320224218192684,0.37671917,0.5762138681247341,0.6137745269785893,0.4679783322441297,0.47506075395786207,29.58760745590814,35.71931680672907
Elastic Net,0.3184129886266535,0.3497267092152369,3859.2191950948545,2492.7011247558517,62.12261420042507,49.92695789606905,31.89079401942905,26.77447972494274,0.094620739,0.15765326196338747,11553.544746877913,7433.035559315965,107.48741669087556,86.21505413392701,91.29836452,74.51130530939068,143.71394937630942,79.86820809625333,0.6033651188652034,0.4589095873676913,23.754463031162974,44.70455171017345,4.873855048230607,6.686146252526447,3.8826551239876332,5.350095762110828,23.045799391547526,38.84611392272482,0.2572531077997986,0.43261727831463204,0.35837537548659726,0.3632632414170463,0.5986446153492047,0.6027132331524224,0.4913624143218131,0.46203810332673834,31.230997404979963,34.12274018347921
