threshold,alpha,polynomial_degree,mean_rmse_cl,mean_rmse_cd,mean_mae_cl,mean_mae_cd,mean_score,validation_case_count,candidate_status,failed_holdout_case,failure_message
0.01,0.0,2,0.1203879799908302,0.010863611553880125,0.09961376665553814,0.009098931124159229,0.06562579577235517,2,ok,,
0.01,0.01,2,0.1203879799908302,0.010863611553880125,0.09961376665553814,0.009098931124159229,0.06562579577235517,2,ok,,
0.01,0.05,2,0.1203879799908302,0.010863611553880125,0.09961376665553814,0.009098931124159229,0.06562579577235517,2,ok,,
0.01,0.1,2,0.1203879799908302,0.010863611553880125,0.09961376665553814,0.009098931124159229,0.06562579577235517,2,ok,,
0.05,0.0,2,0.1203879799908302,0.010863611553880125,0.09961376665553814,0.009098931124159229,0.06562579577235517,2,ok,,
0.05,0.01,2,0.1203879799908302,0.010863611553880125,0.09961376665553814,0.009098931124159229,0.06562579577235517,2,ok,,
0.05,0.05,2,0.1203879799908302,0.010863611553880125,0.09961376665553814,0.009098931124159229,0.06562579577235517,2,ok,,
0.05,0.1,2,0.1203879799908302,0.010863611553880125,0.09961376665553814,0.009098931124159229,0.06562579577235517,2,ok,,
0.1,0.0,2,0.1203879799908302,0.010863611553880125,0.09961376665553814,0.009098931124159229,0.06562579577235517,2,ok,,
0.1,0.01,2,0.1203879799908302,0.010863611553880125,0.09961376665553814,0.009098931124159229,0.06562579577235517,2,ok,,
0.1,0.05,2,0.1203879799908302,0.010863611553880125,0.09961376665553814,0.009098931124159229,0.06562579577235517,2,ok,,
0.1,0.1,2,0.1203879799908302,0.010863611553880125,0.09961376665553814,0.009098931124159229,0.06562579577235517,2,ok,,
0.2,0.0,2,0.1203879799908302,0.010863611553880125,0.09961376665553814,0.009098931124159229,0.06562579577235517,2,ok,,
0.2,0.01,2,0.1203879799908302,0.010863611553880125,0.09961376665553814,0.009098931124159229,0.06562579577235517,2,ok,,
0.2,0.05,2,0.1203879799908302,0.010863611553880125,0.09961376665553814,0.009098931124159229,0.06562579577235517,2,ok,,
0.2,0.1,2,0.1203879799908302,0.010863611553880125,0.09961376665553814,0.009098931124159229,0.06562579577235517,2,ok,,
0.01,0.01,4,0.15421592994916328,0.010288850511232642,0.12902522427976498,0.008583217426821377,0.08225239023019797,2,ok,,
0.01,0.0,4,0.15427516461393448,0.010291208749738922,0.12909292212224582,0.008584625425651804,0.0822831866818367,2,ok,,
0.01,0.05,4,0.15427516461393448,0.010291208749738922,0.12909292212224582,0.008584625425651804,0.0822831866818367,2,ok,,
0.01,0.1,4,0.15427516461393448,0.010291208749738922,0.12909292212224582,0.008584625425651804,0.0822831866818367,2,ok,,
0.05,0.0,4,0.15427516461393448,0.010291208749738922,0.12909292212224582,0.008584625425651804,0.0822831866818367,2,ok,,
0.05,0.05,4,0.15427516461393448,0.010291208749738922,0.12909292212224582,0.008584625425651804,0.0822831866818367,2,ok,,
0.05,0.1,4,0.15427516461393448,0.010291208749738922,0.12909292212224582,0.008584625425651804,0.0822831866818367,2,ok,,
0.1,0.0,4,0.15427516461393448,0.010291208749738922,0.12909292212224582,0.008584625425651804,0.0822831866818367,2,ok,,
0.2,0.0,4,0.15427516461393448,0.010291208749738922,0.12909292212224582,0.008584625425651804,0.0822831866818367,2,ok,,
