source_file,case_name,case_group,dataset_role,is_confirmation,time_step,flow_time,vy,vx,cl,cd,pitch
T4_OUTPUT.out,T4,T,confirmation,True,1001,0.506,16.30672,247.8008,0.9548262,0.05021365,3.7649639859295827
T4_OUTPUT.out,T4,T,confirmation,True,1002,0.507,16.28242,247.8006,0.9541409,0.05017244,3.7593726259991196
T4_OUTPUT.out,T4,T,confirmation,True,1003,0.508,16.25804,247.8004,0.9534548,0.050131,3.753762767221405
T4_OUTPUT.out,T4,T,confirmation,True,1004,0.509,16.23358,247.8003,0.9527679,0.05008934,3.7481329006962896
T4_OUTPUT.out,T4,T,confirmation,True,1005,0.51,16.20903,247.8001,0.9520803,0.05004746,3.74248374220786
T4_OUTPUT.out,T4,T,confirmation,True,1006,0.511,16.18441,247.7999,0.951392,0.05000535,3.736818385226172
T4_OUTPUT.out,T4,T,confirmation,True,1007,0.512,16.1597,247.7998,0.9507031,0.04996302,3.731130722965625
T4_OUTPUT.out,T4,T,confirmation,True,1008,0.513,16.13492,247.7996,0.9500134,0.04992047,3.725428364706713
T4_OUTPUT.out,T4,T,confirmation,True,1009,0.514,16.11005,247.7994,0.9493231,0.0498777,3.719705201264662
T4_OUTPUT.out,T4,T,confirmation,True,1010,0.515,16.08511,247.7993,0.9486321,0.04983472,3.713964342277044
T4_OUTPUT.out,T4,T,confirmation,True,1011,0.516,16.06009,247.7991,0.9479405,0.04979151,3.7082064761457447
T4_OUTPUT.out,T4,T,confirmation,True,1012,0.517,16.03499,247.7989,0.9472484,0.04974809,3.7024301053397757
T4_OUTPUT.out,T4,T,confirmation,True,1013,0.518,16.00982,247.7987,0.9465556,0.04970446,3.6966375317875344
T4_OUTPUT.out,T4,T,confirmation,True,1014,0.519,15.98457,247.7986,0.9458622,0.04966061,3.690824966994226
T4_OUTPUT.out,T4,T,confirmation,True,1015,0.52,15.95924,247.7984,0.9451684,0.04961654,3.684995383299348
T4_OUTPUT.out,T4,T,confirmation,True,1016,0.521,15.93384,247.7982,0.9444739,0.04957227,3.6791495950730155
T4_OUTPUT.out,T4,T,confirmation,True,1017,0.522,15.90837,247.7981,0.943779,0.04952778,3.67328612344841
T4_OUTPUT.out,T4,T,confirmation,True,1018,0.523,15.88282,247.7979,0.9430836,0.04948308,3.6674056241106605
T4_OUTPUT.out,T4,T,confirmation,True,1019,0.524,15.8572,247.7977,0.9423877,0.04943818,3.661508918521706
T4_OUTPUT.out,T4,T,confirmation,True,1020,0.525,15.83151,247.7976,0.9416913,0.04939307,3.655594534893642
T4_OUTPUT.out,T4,T,confirmation,True,1021,0.526,15.80575,247.7974,0.9409945,0.04934775,3.6496654175141154
T4_OUTPUT.out,T4,T,confirmation,True,1022,0.527,15.77991,247.7972,0.9402972,0.04930222,3.6437177893644574
T4_OUTPUT.out,T4,T,confirmation,True,1023,0.528,15.75401,247.797,0.9395996,0.04925649,3.637756255591326
T4_OUTPUT.out,T4,T,confirmation,True,1024,0.529,15.72803,247.7969,0.9389016,0.04921056,3.6317747481748692
T4_OUTPUT.out,T4,T,confirmation,True,1025,0.53,15.70199,247.7967,0.9382032,0.04916442,3.62578079819731
T4_OUTPUT.out,T4,T,confirmation,True,1026,0.531,15.67588,247.7965,0.9375044,0.04911809,3.619770638113602
T4_OUTPUT.out,T4,T,confirmation,True,1027,0.532,15.64971,247.7964,0.9368053,0.04907155,3.6137451159109464
T4_OUTPUT.out,T4,T,confirmation,True,1028,0.533,15.62346,247.7962,0.9361059,0.04902482,3.6077025364123774
T4_OUTPUT.out,T4,T,confirmation,True,1029,0.534,15.59715,247.796,0.9354062,0.04897788,3.60164604825306
T4_OUTPUT.out,T4,T,confirmation,True,1030,0.535,15.57078,247.7959,0.9347063,0.04893075,3.595574203764245
T4_OUTPUT.out,T4,T,confirmation,True,1031,0.536,15.54434,247.7957,0.934006,0.04888343,3.589487596206903
T4_OUTPUT.out,T4,T,confirmation,True,1032,0.537,15.51783,247.7955,0.9333056,0.04883591,3.5833847753863837
T4_OUTPUT.out,T4,T,confirmation,True,1033,0.538,15.49127,247.7953,0.9326049,0.0487882,3.5772703471953653
T4_OUTPUT.out,T4,T,confirmation,True,1034,0.539,15.46463,247.7952,0.931904,0.0487403,3.5711359640869316
T4_OUTPUT.out,T4,T,confirmation,True,1035,0.54,15.43794,247.795,0.9312029,0.0486922,3.564991412603422
T4_OUTPUT.out,T4,T,confirmation,True,1036,0.541,15.41119,247.7948,0.9305016,0.04864392,3.5588329491865784
T4_OUTPUT.out,T4,T,confirmation,True,1037,0.542,15.38437,247.7947,0.9298002,0.04859544,3.5526568399996696
T4_OUTPUT.out,T4,T,confirmation,True,1038,0.543,15.3575,247.7945,0.9290986,0.04854678,3.5464705538162837
T4_OUTPUT.out,T4,T,confirmation,True,1039,0.544,15.33057,247.7943,0.928397,0.04849794,3.5402703543631207
T4_OUTPUT.out,T4,T,confirmation,True,1040,0.545,15.30357,247.7941,0.9276952,0.04844891,3.5340539377465956
T4_OUTPUT.out,T4,T,confirmation,True,1041,0.546,15.27652,247.794,0.9269934,0.04839969,3.527824490286326
T4_OUTPUT.out,T4,T,confirmation,True,1042,0.547,15.24942,247.7938,0.9262915,0.04835029,3.5215848543288657
T4_OUTPUT.out,T4,T,confirmation,True,1043,0.548,15.22225,247.7936,0.9255895,0.04830072,3.5153289998480703
T4_OUTPUT.out,T4,T,confirmation,True,1044,0.549,15.19503,247.7934,0.9248875,0.04825096,3.5090615334579858
T4_OUTPUT.out,T4,T,confirmation,True,1045,0.55,15.16775,247.7933,0.9241856,0.04820102,3.5027787411340707
T4_OUTPUT.out,T4,T,confirmation,True,1046,0.551,15.14042,247.7931,0.9234836,0.0481509,3.4964857487375993
T4_OUTPUT.out,T4,T,confirmation,True,1047,0.552,15.11304,247.7929,0.9227817,0.04810061,3.490181143341365
T4_OUTPUT.out,T4,T,confirmation,True,1048,0.553,15.0856,247.7928,0.9220798,0.04805014,3.4838612184006035
T4_OUTPUT.out,T4,T,confirmation,True,1049,0.554,15.05811,247.7926,0.9213779,0.0479995,3.4775310847418393
T4_OUTPUT.out,T4,T,confirmation,True,1050,0.555,15.03057,247.7924,0.9206762,0.04794869,3.4711893370001143
T4_OUTPUT.out,T4,T,confirmation,True,1051,0.556,15.00298,247.7922,0.9199746,0.0478977,3.4648359748363284
T4_OUTPUT.out,T4,T,confirmation,True,1052,0.557,14.97534,247.7921,0.9192731,0.04784655,3.4584696055851865
T4_OUTPUT.out,T4,T,confirmation,True,1053,0.558,14.94764,247.7919,0.9185717,0.04779522,3.452090712246563
T4_OUTPUT.out,T4,T,confirmation,True,1054,0.559,14.9199,247.7917,0.9178705,0.04774373,3.445702507315946
T4_OUTPUT.out,T4,T,confirmation,True,1055,0.56,14.89211,247.7915,0.9171694,0.04769207,3.4393026866201333
T4_OUTPUT.out,T4,T,confirmation,True,1056,0.561,14.86427,247.7914,0.9164686,0.04764025,3.4328898677418764
T4_OUTPUT.out,T4,T,confirmation,True,1057,0.562,14.83639,247.7912,0.9157679,0.04758826,3.42646912108535
T4_OUTPUT.out,T4,T,confirmation,True,1058,0.563,14.80846,247.791,0.9150675,0.04753611,3.4200367577322686
T4_OUTPUT.out,T4,T,confirmation,True,1059,0.564,14.78048,247.7909,0.9143673,0.04748379,3.413591402997939
T4_OUTPUT.out,T4,T,confirmation,True,1060,0.565,14.75246,247.7907,0.9136674,0.04743132,3.407138111940199
T4_OUTPUT.out,T4,T,confirmation,True,1061,0.566,14.7244,247.7905,0.9129678,0.04737869,3.4006755073935575
T4_OUTPUT.out,T4,T,confirmation,True,1062,0.567,14.69629,247.7903,0.9122685,0.04732589,3.39420128496323
T4_OUTPUT.out,T4,T,confirmation,True,1063,0.568,14.66814,247.7902,0.9115695,0.04727295,3.3877163845296225
T4_OUTPUT.out,T4,T,confirmation,True,1064,0.569,14.63994,247.79,0.9108709,0.04721985,3.3812212322113595
T4_OUTPUT.out,T4,T,confirmation,True,1065,0.57,14.61171,247.7898,0.9101726,0.04716659,3.374719069619214
T4_OUTPUT.out,T4,T,confirmation,True,1066,0.571,14.58344,247.7896,0.9094746,0.04711318,3.368207592330144
T4_OUTPUT.out,T4,T,confirmation,True,1067,0.572,14.55512,247.7895,0.9087771,0.04705962,3.361683142233013
T4_OUTPUT.out,T4,T,confirmation,True,1068,0.573,14.52677,247.7893,0.90808,0.04700591,3.3551530374547642
T4_OUTPUT.out,T4,T,confirmation,True,1069,0.574,14.49837,247.7891,0.9073833,0.04695205,3.3486113129155104
T4_OUTPUT.out,T4,T,confirmation,True,1070,0.575,14.46994,247.7889,0.906687,0.04689805,3.342062577140571
T4_OUTPUT.out,T4,T,confirmation,True,1071,0.576,14.44148,247.7888,0.9059912,0.04684389,3.33550548693548
T4_OUTPUT.out,T4,T,confirmation,True,1072,0.577,14.41297,247.7886,0.9052959,0.0467896,3.3289381219688714
T4_OUTPUT.out,T4,T,confirmation,True,1073,0.578,14.38444,247.7884,0.9046011,0.04673515,3.322366049787101
